Club,2012,2013,2014,2015,2016,2017
Chelsea FC,43400,46750,54070,56550,55880,63190
Manchester City,49850,48025,49330,43825,54150,62950
Manchester United,39925,39325,41730,45725,46925,59275
Tottenham Hotspur,28400,28550,28785,28710,38385,55100
Liverpool FC,23610,26350,31600,36725,43245,51450
Arsenal FC,35825,30300,35410,40900,49345,50800
Everton FC,14000,15725,12100,17875,24225,33525
Southampton FC,4330,9625,11005,17975,17100,25560
Leicester City,3105,3025,2995,7800,16410,24350
West Ham United,6070,8725,9450,14450,17903,21590
Crystal Palace,1518,3725,5100,11400,14060,19060
Stoke City,7603,9480,10385,9925,14675,16050
West Bromwich Albion,6500,6875,6445,7750,9260,15625
Swansea City,7125,11925,12420,13575,11395,15410
Watford FC,1573,2745,3290,8025,11010,15150
Newcastle United,14895,15950,14350,15850,16400,13700
AFC Bournemouth,640,990,1650,4125,7900,11675
Brighton & Hove Albion,1940,2083,1455,2325,3600,9900
Burnley FC,1805,1948,2640,3865,4980,9150
Huddersfield Town,1465,1435,1655,1275,1700,5800
